"Bridge Over Troubled Water","Simon & Garfunkel","1970","1001 Albums You Must Hear Before You Die; Grammy for Album of the Year; Rolling Stone's 500 Greatest Albums of All Time; NME's 500 Greatest Albums of All Time; Brit Award for International Album of the Year","https://www.discogs.com/master/27765","232157","Pop","Folk Rock; Pop Rock; Soft Rock"
"Fever","Kylie Minogue","2001","Brit Award for International Album of the Year","https://www.discogs.com/master/31337","13608","Electronic","Disco; House; Synth-pop"
"Justified","Justin Timberlake","2002","1001 Albums You Must Hear Before You Die; AMA for Pop/Rock; Grammy for Best Pop Vocal; Brit Award for International Album of the Year","https://www.discogs.com/master/90819","66824","Funk / Soul","Contemporary R&B"
"The Eminem Show","Eminem","2002","AMA for Pop/Rock; AMA for Rap/HipHop; AMA for Soul/R&B; Grammy for Best Rap; Brit Award for International Album of the Year","https://www.discogs.com/master/12344","38661","Hip Hop","Hardcore Hip-Hop; Pop Rap"
"American Idiot","Green Day","2004","1001 Albums You Must Hear Before You Die; AMA for Pop/Rock; Grammy for Best Rock; Rolling Stone's 500 Greatest Albums of All Time; Brit Award for International Album of the Year","https://www.discogs.com/master/33161","251593","Rock","Alternative Rock; Pop Punk; Pop Rock"
"Scissor Sisters","Scissor Sisters","2004","1001 Albums You Must Hear Before You Die; Brit Award for International Album of the Year","https://www.discogs.com/master/78220","51888","Electronic; Pop; Rock","Electroclash; Glam; Pop Rock"
"Sam's Town","The Killers","2006","Brit Award for International Album of the Year","https://www.discogs.com/master/71534","220651","Electronic; Rock","Glam; Indie Rock; New Wave"
"Echoes, Silence, Patience & Grace","Foo Fighters","2007","Grammy for Best Rock; Brit Award for International Album of the Year","https://www.discogs.com/master/62208","198282","Rock","Hard Rock"
"Only By The Night","Kings Of Leon","2008","1001 Albums You Must Hear Before You Die; Brit Award for International Album of the Year","https://www.discogs.com/master/123931","236094","Rock","Indie Rock; Southern Rock"
"The Fame","Lady Gaga","2008","Grammy for Best Dance-Electronic; Brit Award for International Album of the Year","https://www.discogs.com/master/11126","1103159","Electronic; Pop","Dance-pop; Europop; Synth-pop"
"The Suburbs","Arcade Fire","2010","Grammy for Album of the Year; NME's 500 Greatest Albums of All Time; Brit Award for International Album of the Year; Fantano Top 200 Albums of 2010s","https://www.discogs.com/master/264742","281232","Rock","Alternative Rock; Indie Rock"
