"Electric Dirt","Levon Helm","2009","Grammy for Best Americana","https://www.discogs.com/master/380414","252930","Folk, World, & Country; Rock",""
"You Are Not Alone","Mavis Staples","2010","Grammy for Best Americana","https://www.discogs.com/master/281795","46766","Folk, World, & Country; Funk / Soul","Gospel; Rhythm & Blues"
"Ramble At The Ryman","Levon Helm","2011","Grammy for Best Americana","https://www.discogs.com/master/350887","252930","Folk, World, & Country; Rock","Blues Rock; Country Rock"
"Slipstream","Bonnie Raitt","2012","Grammy for Best Americana","https://www.discogs.com/master/439236","271392","Rock","Pop Rock"
"Old Yellow Moon","Emmylou Harris, Rodney Crowell","2013","Grammy for Best Americana","https://www.discogs.com/master/532223","83609; 447620","Folk, World, & Country; Rock","Country; Country Rock"
"The River & The Thread","Rosanne Cash","2014","Grammy for Best Americana","https://www.discogs.com/master/643336","291653","Folk, World, & Country; Pop",""
"Something More Than Free","Jason Isbell","2015","Grammy for Best Americana","https://www.discogs.com/master/861144","929782","Folk, World, & Country; Rock",""
"This Is Where I Live","William Bell","2016","Grammy for Best Americana","https://www.discogs.com/master/1010462","88689","Funk / Soul","Soul"
"The Nashville Sound","Jason Isbell And The 400 Unit","2017","Grammy for Best Americana","https://www.discogs.com/master/1195163","3328885","Folk, World, & Country","Country"
"By The Way, I Forgive You","Brandi Carlile","2018","Grammy for Best Americana","https://www.discogs.com/master/1316682","502784","Folk, World, & Country","Country; Folk"
"Oklahoma","Keb Mo","2019","Grammy for Best Americana","https://www.discogs.com/master/1566290","206070","Blues",""
"World On The Ground","Sarah Jarosz","2020","Grammy for Best Americana","https://www.discogs.com/master/1752975","1652367","Folk, World, & Country",""
