"CrazySexyCool","TLC","1994","1001 Albums You Must Hear Before You Die; Grammy for Best R&B; Rolling Stone's 500 Greatest Albums of All Time","https://www.discogs.com/master/51777","77859","Funk / Soul","Contemporary R&B"
"II","Boyz II Men","1994","AMA for Soul/R&B; Grammy for Best R&B","https://www.discogs.com/master/77912","101552","Funk / Soul","Contemporary R&B"
"Words","The Tony Rich Project","1995","Grammy for Best R&B","https://www.discogs.com/master/466597","319612","Funk / Soul","Contemporary R&B; Neo Soul"
"Baduizm","Erykah Badu","1997","Grammy for Best R&B","https://www.discogs.com/master/43655","10995","Funk / Soul","Contemporary R&B; Neo Soul"
"The Miseducation Of Lauryn Hill","Lauryn Hill","1998","1001 Albums You Must Hear Before You Die; AMA for Soul/R&B; Grammy for Album of the Year; Grammy for Best R&B; Rolling Stone's 500 Greatest Albums of All Time; NME's 500 Greatest Albums of All Time","https://www.discogs.com/master/57279","42627","Funk / Soul; Hip Hop","Conscious; Contemporary R&B; Neo Soul"
"FanMail","TLC","1999","Grammy for Best R&B","https://www.discogs.com/master/51821","77859","Electronic; Funk / Soul","Contemporary R&B; Electro"
"Voodoo","D'Angelo","2000","Grammy for Best R&B; Rolling Stone's 500 Greatest Albums of All Time","https://www.discogs.com/master/151766","44944","Funk / Soul; Hip Hop","Funk; Neo Soul; Soul"
"Songs In A Minor","Alicia Keys","2001","Grammy for Best R&B","https://www.discogs.com/master/144290","38905","Funk / Soul; Hip Hop","Contemporary R&B; Neo Soul"
"Voyage To India","India.Arie","2002","Grammy for Best R&B","https://www.discogs.com/master/131026","410260","Funk / Soul","Neo Soul"
"Dance With My Father","Luther Vandross","2003","AMA for Soul/R&B; Grammy for Best R&B","https://www.discogs.com/master/166303","22757","Funk / Soul; Hip Hop; Pop","Contemporary R&B; Soul; Vocal"
"The Diary Of Alicia Keys","Alicia Keys","2003","Grammy for Best R&B","https://www.discogs.com/master/144296","38905","Funk / Soul","Contemporary R&B; Neo Soul"
"Get Lifted","John Legend","2004","Grammy for Best R&B","https://www.discogs.com/master/112604","182738","Funk / Soul; Hip Hop","Contemporary R&B; Neo Soul"
"The Breakthrough","Mary J. Blige","2005","AMA for Soul/R&B; Grammy for Best R&B","https://www.discogs.com/master/78820","4778","Funk / Soul; Hip Hop","Contemporary R&B; Soul"
"Funk This","Chaka Khan","2007","Grammy for Best R&B","https://www.discogs.com/master/118918","17035","Funk / Soul","Funk; Rhythm & Blues; Soul"
"Jennifer Hudson","Jennifer Hudson","2008","Grammy for Best R&B","https://www.discogs.com/master/146177","658286","Funk / Soul","Contemporary R&B"
"BLACKsummers'night","Maxwell","2009","Grammy for Best R&B","https://www.discogs.com/master/234568","22020","Funk / Soul","Neo Soul; Soul"
"Wake Up!","John Legend, The Roots","2010","Grammy for Best R&B","https://www.discogs.com/master/278848","182738; 76894","Funk / Soul; Hip Hop; Reggae","Roots Reggae; Soul"
"F.A.M.E.","Chris Brown","2011","Grammy for Best R&B","https://www.discogs.com/master/363641","357753","Electronic; Hip Hop; Pop","Pop Rap"
"Black Radio","Robert Glasper Experiment","2012","Grammy for Best R&B","https://www.discogs.com/master/416242","2644196","Funk / Soul; Hip Hop; Jazz","Contemporary Jazz; Contemporary R&B; Neo Soul"
"Girl On Fire","Alicia Keys","2012","Grammy for Best R&B","https://www.discogs.com/master/498835","38905","Funk / Soul; Jazz","Contemporary R&B"
"Black Messiah","D'Angelo, The Vanguard","2014","Grammy for Best R&B; Fantano Top 200 Albums of 2010s","https://www.discogs.com/master/771416","44944; 4165408","Blues; Funk / Soul","Funk; Soul"
"Love Marriage & Divorce","Toni Braxton, Babyface","2014","Grammy for Best R&B","https://www.discogs.com/master/660559","13936; 50703","Funk / Soul; Hip Hop; Pop","Contemporary R&B; Soul"
"Live","Lalah Hathaway","2015","Grammy for Best R&B","https://www.discogs.com/master/954631","25809","Funk / Soul; Jazz","Contemporary Jazz; Contemporary R&B"
"XXIVK Magic","Bruno Mars","2016","AMA for Pop/Rock; AMA for Soul/R&B; Grammy for Album of the Year; Grammy for Best R&B","https://www.discogs.com/master/1092070","1357693","Electronic; Funk / Soul; Hip Hop; Pop","Contemporary R&B; Funk; Soul; Synth-pop"
"H.E.R.","H.E.R.","2017","Grammy for Best R&B","https://www.discogs.com/master/1497218","5495084","Funk / Soul; Hip Hop","Contemporary R&B; Soul"
"Ventura","Anderson .Paak","2019","Grammy for Best R&B","https://www.discogs.com/master/1532286","4003501","Hip Hop",""
"Bigger Love","John Legend","2020","Grammy for Best R&B","https://www.discogs.com/master/1777532","182738","Funk / Soul","Contemporary R&B; Soul"
"Heaux Tales","Jazmine Sullivan","2021","Grammy for Best R&B","https://www.discogs.com/master/2411860","330380","Funk / Soul; Hip Hop","Contemporary R&B"
